Order,Symbol,Name,Type,Valence,Amount of Valences,Oxide_ValenceOrder1,Oxide_ValenceOrder2,Oxide_ValenceOrder3,Oxide_ValenceOrder4,Oxide_ValenceOrder5,Stock
108,Hs,Hassio,Metal,2;4;6;7,4,Hidruro HipoHassioso,Hidruro Hassioso,Hidruro Hássico,Hidruro PerHássico,,Hidruro de Hassio
109,Mt,Meitnerio,Metal,2;3;4;6,4,Hidruro HipoMeitnerioso,Hidruro Meitnerioso,Hidruro Meitnérico,Hidruro PerMeitnérico,,Hidruro de Meitnerio
110,Ds,Darmstatio,Metal,2;4,2,Hidruro Darmstatioso,Hidruro Darmstático,,,,Hidruro de Darmstatio
111,Rg,Roentgenio,Metal,2;3,2,Hidruro Roentgenioso,Hidruro Roentegénico,,,,Hidruro de Roentgenio
112,Cn,Copérnico,Metal,1;2,2,Hidruro Copernicoso,Hidruro Copérnico,,,,Hidruro de Copérnico
113,Nh,Nihonium,Metal,3,1,Hidruro de Nihonium,,,,,Hidruro de Nihonium
114,Fl,Flerovio,Metal,2;4;6,3,Hidruro HipoFlerovioso,Hidruro Flerovioso,Hidruro Fleróvico,,,Hidruro de Flerovio
115,Mc,Moscovio,Metal,1;4;5,3,Hidruro HipoMoscovioso,Hidruro Moscovioso,Hidruro Moscóvico,,,Hidruro de Moscovio
116,Lv,Livermorio,Metal,3;4;5,3,Hidruro HipoLivermorioso,Hidruro Livermorioso,Hidruro Livermórico,,,Hidruro de Livermorio
117,Ts,Tenesino,Metal,1;2;3,3,Hidruro HipoTenesinoso,Hidruro Tenesinoso,Hidruro Tenésico,,,Hidruro de Tenesino
118,Og,Oganeson,Metal,4;7,2,Hidruro Oganesonoso,Hidruro Oganésico,,,,Hidruro de Oganeson
