Order,Symbol,Name,Type,Valence,Amount of Valences,Oxide_ValenceOrder1,Oxide_ValenceOrder2,Oxide_ValenceOrder3,Oxide_ValenceOrder4,Oxide_ValenceOrder5,Stock
70,Yb,Iterbio,Metal,2;3,2,Hidróxido Iterbioso,Hidróxido Itérbico,,,,Hidróxido de Iterbio
71,Lu,Lutecio,Metal,3,1,Hidróxido de Lutecio,,,,,Hidróxido de Lutecio
72,Hf,Hafnio,Metal,4,1,Hidróxido de Hafnio,,,,,Hidróxido de Hafnio
73,Ta,Tantalio,Metal,5,1,Hidróxido de Tantalio,,,,,Hidróxido de Tantalio
74,W,Tungsteno,Metal,2;3;4;5;6,5,Hidróxido HipoTungstenoso,Hidróxido Tungstenoso,Hidróxido Tungsténico,Hidróxido PerTungsténico,Hidróxido SuperTungsténico,Hidróxido de Tungsteno
75,Re,Renio,Metal,1;2;4;6;7,5,Hidróxido HipoRenioso,Hidróxido Renioso,Hidróxido Rénico,Hidróxido PerRénico,Hidróxido SuperRénico,Hidróxido de Renio
76,Os,Osmio,Metal,2;3;4;6;8,5,Hidróxido HipoOsmioso,Hidróxido Osmioso,Hidróxido Ósmico,Hidróxido PerÓsmico,Hidróxido SuperÓsmico,Hidróxido de Osmio
77,Ir,Iridio,Metal,2;3;4;6,4,Hidróxido HipoIridioso,Hidróxido Iridioso,Hidróxido Irídico,Hidróxido PerIrídico,,Hidróxido de Iridio
78,Pt,Platino,Metal,2;4,2,Hidróxido Platinoso,Hidróxido Platínico,,,,Hidróxido de Platino
79,Au,Oro,Metal,1;3,2,Hidróxido Auroso,Hidróxido Áurico,,,,Hidróxido de Oro
80,Hg,Mercurio,Metal,1;2,2,Hidróxido Mercurioso,Hidróxido Mercúrico,,,,Hidróxido de Mercurio
81,Tl,Talio,Metal,1;3,2,Hidróxido Talioso,Hidróxido Tálico,,,,Hidróxido de Talio
82,Pb,Plomo,Metal,2;4,2,Hidróxido Plubioso,Hidróxido Plúmbico,,,,Hidróxido de Plomo
83,Bi,Bismuto,Metal,3;5,2,Hidróxido Bismutoso,Hidróxido Bismútico,,,,Hidróxido de Bismuto
84,Po,Polonio,Metalloid,2;4,2,Hidróxido Polonioso,Hidróxido Polónico,,,,Hidróxido de Polonio
85,At,Astato,Non-metal,1;3;5;7,4,Hidróxido HipoAstatoso,Hidróxido Astatoso,Hidróxido Astático,Hidróxido PerAstático,,Hidróxido de Astato
86,Rn,Radón,Noble gas,0,1,No corresponde,,,,,No corresponde
87,Fr,Francio,Metal,1,1,Hidróxido de Francio,,,,,Hidróxido de Francio
88,Ra,Radio,Metal,2,1,Hidróxido de Radio,,,,,Hidróxido de Radio
89,Ac,Actinio,Metal,3,1,Hidróxido de Actinio,,,,,Hidróxido de Actinio
90,Th,Torio,Metal,4,1,Hidróxido de Torio,,,,,Hidróxido de Torio
91,Pa,Protactinio,Metal,4;5,2,Hidróxido Protactinioso,Hidróxido Protactínico,,,,Hidróxido de Protactinio
92,U,Uranio,Metal,3;4;5;6,4,Hidróxido HipoUranoso,Hidróxido Uranoso,Hidróxido Uránico,Hidróxido PerUránico,,Hidróxido de Uranio
93,Np,Neptunio,Metal,3;4;5;6,4,Hidróxido HipoNeptunioso,Hidróxido Neptunioso,Hidróxido Neptúnico,Hidróxido PerNeptúnico,,Hidróxido de Neptunio
94,Pu,Plutonio,Metal,3;4;5;6,4,Hidróxido HipoPlutonioso,Hidróxido Plutonioso,Hidróxido Plutónico,Hidróxido PerPlutónico,,Hidróxido de Plutonio
95,Am,Americio,Metal,3;4;5;6,4,Hidróxido HipoAmericioso,Hidróxido Americioso,Hidróxido Amerícico,Hidróxido PerAmerícico,,Hidróxido de Americio
96,Cm,Curio,Metal,3,1,Hidróxido de Curio,,,,,Hidróxido de Curio
97,Bk,Berkelio,Metal,3;4,2,Hidróxido Berkelioso,Hidróxido Berkélico,,,,Hidróxido de Berkelio
98,Cf,Californio,Metal,3,1,Hidróxido de Californio,,,,,Hidróxido de Californio
99,Es,Einstenio,Metal,4,1,Hidróxido de Einstenio,,,,,Hidróxido de Einstenio
100,Fm,Fermio,Metal,4,1,Hidróxido de Fermio,,,,,Hidróxido de Fermio
101,Md,Mendelevio,Metal,3;4,2,Hidróxido Mendelevioso,Hidróxido Mendelévico,,,,Hidróxido de Mendelevio
102,No,Nobelio,Metal,3;4,2,Hidróxido Nobelioso,Hidróxido Nobélico,,,,Hidróxido de Nobelio
103,Lr,Laurencio,Metal,3;4,2,Hidróxido Laurencioso,Hidróxido Lauréncico,,,,Hidróxido de Laurencio
104,Rf,Rutherfordio,Metal,4,1,Hidróxido de Rutherfordio,,,,,Hidróxido de Rutherfordio
105,Db,Dubnium,Metal,4,1,Hidróxido de Dubnium,,,,,Hidróxido de Dubnium
106,Sg,Seaborgio,Metal,4,1,Hidróxido de Seaborgio,,,,,Hidróxido de Seaborgio
107,Bh,Bohrio,Metal,3;4;5,3,Hidróxido HipoBohrioso,Hidróxido Bohrioso,Hidróxido Bóhrico,,,Hidróxido de Bohrio
108,Hs,Hassio,Metal,2;4;6;7,4,Hidróxido HipoHassioso,Hidróxido Hassioso,Hidróxido Hássico,Hidróxido PerHássico,,Hidróxido de Hassio
109,Mt,Meitnerio,Metal,2;3;4;6,4,Hidróxido HipoMeitnerioso,Hidróxido Meitnerioso,Hidróxido Meitnérico,Hidróxido PerMeitnérico,,Hidróxido de Meitnerio
110,Ds,Darmstatio,Metal,2;4,2,Hidróxido Darmstatioso,Hidróxido Darmstático,,,,Hidróxido de Darmstatio
111,Rg,Roentgenio,Metal,2;3,2,Hidróxido Roentgenioso,Hidróxido Roentegénico,,,,Hidróxido de Roentgenio
112,Cn,Copérnico,Metal,1;2,2,Hidróxido Copernicoso,Hidróxido Copérnico,,,,Hidróxido de Copérnico
113,Nh,Nihonium,Metal,3,1,Hidróxido de Nihonium,,,,,Hidróxido de Nihonium
114,Fl,Flerovio,Metal,2;4;6,3,Hidróxido HipoFlerovioso,Hidróxido Flerovioso,Hidróxido Fleróvico,,,Hidróxido de Flerovio
115,Mc,Moscovio,Metal,1;4;5,3,Hidróxido HipoMoscovioso,Hidróxido Moscovioso,Hidróxido Moscóvico,,,Hidróxido de Moscovio
116,Lv,Livermorio,Metal,3;4;5,3,Hidróxido HipoLivermorioso,Hidróxido Livermorioso,Hidróxido Livermórico,,,Hidróxido de Livermorio
117,Ts,Tenesino,Metal,1;2;3,3,Hidróxido HipoTenesinoso,Hidróxido Tenesinoso,Hidróxido Tenésico,,,Hidróxido de Tenesino
118,Og,Oganeson,Metal,4;7,2,Hidróxido Oganesonoso,Hidróxido Oganésico,,,,Hidróxido de Oganeson
