Order,Symbol,Name,Type,Valence,Amount of Valences,Oxide_ValenceOrder1,Oxide_ValenceOrder2,Oxide_ValenceOrder3,Oxide_ValenceOrder4,Oxide_ValenceOrder5,Stock
107,Bh,Bohrio,Metal,3;4;5,3,Óxido HipoBohrioso,Óxido Bohrioso,Óxido Bóhrico,,,Óxido de Bohrio
108,Hs,Hassio,Metal,2;4;6;7,4,Óxido HipoHassioso,Óxido Hassioso,Óxido Hássico,Óxido PerHássico,,Óxido de Hassio
109,Mt,Meitnerio,Metal,2;3;4;6,4,Óxido HipoMeitnerioso,Óxido Meitnerioso,Óxido Meitnérico,Óxido PerMeitnérico,,Óxido de Meitnerio
110,Ds,Darmstatio,Metal,2;4,2,Óxido Darmstatioso,Óxido Darmstático,,,,Óxido de Darmstatio
111,Rg,Roentgenio,Metal,2;3,2,Óxido Roentgenioso,Óxido Roentegénico,,,,Óxido de Roentgenio
112,Cn,Copérnico,Metal,1;2,2,Óxido Copernicoso,Óxido Copérnico,,,,Óxido de Copérnico
113,Nh,Nihonium,Metal,3,1,Óxido de Nihonium,,,,,Óxido de Nihonium
114,Fl,Flerovio,Metal,2;4;6,3,Óxido HipoFlerovioso,Óxido Flerovioso,Óxido Fleróvico,,,Óxido de Flerovio
115,Mc,Moscovio,Metal,1;4;5,3,Óxido HipoMoscovioso,Óxido Moscovioso,Óxido Moscóvico,,,Óxido de Moscovio
116,Lv,Livermorio,Metal,3;4;5,3,Óxido HipoLivermorioso,Óxido Livermorioso,Óxido Livermórico,,,Óxido de Livermorio
117,Ts,Tenesino,Metal,1;2;3,3,Óxido HipoTenesinoso,Óxido Tenesinoso,Óxido Tenésico,,,Óxido de Tenesino
118,Og,Oganeson,Metal,4;7,2,Óxido Oganesonoso,Óxido Oganésico,,,,Óxido de Oganeson
